estacion,provincia,temp_max,temp_min,temp_med,viento_racha,viento_vel_max,prec_dia,prec_0_6h,prec_6_12h,prec_12_18h,prec_18_24h,fecha
Estaca de Bares,A Coruña,8.9,5.0,6.9,66.0,48.0,13.8,0.8,4.8,0.8,7.4,2021-01-05
Ferrol,A Coruña,8.7,1.0,4.8,14.0,8.0,5.8,0.1,4.8,0.7,0.2,2021-01-05
As Pontes,A Coruña,4.7,-0.4,2.1,,,5.0,0.0,3.6,1.4,0.0,2021-01-05
A Coruña,A Coruña,10.2,2.8,6.5,27.0,14.0,4.6,0.0,3.0,1.6,0.0,2021-01-05
A Coruña Aeropuerto,A Coruña,9.4,-1.5,3.9,22.0,12.0,1.0,0.0,0.9,0.1,0.0,2021-01-05
"Carballo, Depuradora",A Coruña,9.6,-1.7,4.0,,,2.8,0.0,2.6,0.2,0.0,2021-01-05
Cabo Vilan,A Coruña,9.8,2.9,6.4,35.0,20.0,4.2,0.3,2.1,0.8,1.0,2021-01-05
Vimianzo,A Coruña,8.0,-1.3,3.4,,,1.6,0.0,1.6,0.0,0.0,2021-01-05
Fisterra,A Coruña,7.7,4.0,5.8,34.0,23.0,0.4,0.0,0.2,0.2,0.0,2021-01-05
Mazaricos,A Coruña,6.5,-2.3,2.1,,,1.4,0.0,0.2,1.0,0.2,2021-01-05
Sobrado,A Coruña,7.1,-3.2,1.9,,,0.2,0.0,0.2,0.0,0.0,2021-01-05
Santiago de Compostela Aeropuerto,A Coruña,7.7,-2.7,2.5,11.0,5.0,0.1,0.0,0.0,0.1,0.0,2021-01-05
Noia,A Coruña,8.5,0.1,4.3,18.0,4.0,0.6,0.0,0.2,0.4,0.0,2021-01-05
Monte Iroite,A Coruña,,,,,,,,,,,2021-01-05
Boiro,A Coruña,8.9,-1.2,3.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Padrón,A Coruña,5.8,-0.6,2.6,26.0,20.0,0.1,0.1,0.0,0.0,0.0,2021-01-05
Santiago de Compostela,A Coruña,7.8,-1.5,3.2,14.0,4.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
"Rois, Casas do Porto",A Coruña,6.4,-1.8,2.3,,,0.4,0.2,0.0,0.2,0.0,2021-01-05
Ossa de Montiel,Albacete,5.7,-4.7,0.5,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Villarrobledo,Albacete,5.4,-5.8,-0.2,17.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Munera,Albacete,3.3,-8.7,-2.7,14.0,6.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
"Yeste, Embalse Fuensanta",Albacete,8.3,-2.8,2.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Yeste,Albacete,6.3,-3.6,1.4,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Hellín,Albacete,6.4,-2.5,2.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Albacete Base Aérea,Albacete,3.9,-5.9,-1.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Chinchilla,Albacete,1.5,-5.4,-2.0,26.0,19.0,0.3,0.0,0.3,0.0,0.0,2021-01-05
Albacete,Albacete,5.2,-4.5,0.3,12.0,4.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alcalá del Júcar,Albacete,4.7,-3.3,0.7,20.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Almansa,Albacete,7.5,-5.9,0.8,22.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Orihuela,Alacant/Alicante,12.3,1.2,6.8,31.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Pinoso,Alacant/Alicante,9.1,-3.9,2.6,19.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Rojales,Alacant/Alicante,13.3,2.4,7.9,23.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Villena,Alacant/Alicante,9.2,-5.8,1.7,22.0,13.0,,,,,,2021-01-05
Novelda,Alacant/Alicante,12.1,2.8,7.5,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Elche/Elx,Alacant/Alicante,14.4,2.1,8.2,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alicante-Elche Aeropuerto,Alacant/Alicante,13.2,4.4,8.8,45.0,32.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alicante/Alacant,Alacant/Alicante,14.7,3.9,9.3,26.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Benidorm,Alacant/Alicante,13.1,0.9,7.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Jávea/ Xàbia,Alacant/Alicante,13.8,0.7,7.3,30.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alcoy/Alcoi,Alacant/Alicante,9.3,-0.5,4.4,30.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Vélez Blanco - Topares,Almería,4.4,-3.8,0.3,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Adra,Almería,14.8,8.7,11.8,28.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
El Ejido,Almería,14.7,7.0,10.8,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Roquetas de Mar,Almería,14.9,3.6,9.2,35.0,23.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Abla,Almería,10.0,0.5,5.3,27.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Láujar de Andarax,Almería,5.0,-2.2,1.4,36.0,18.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Almería Aeropuerto,Almería,15.8,5.2,10.5,30.0,22.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Cabo de Gata,Almería,12.6,9.7,11.2,48.0,34.0,,,,,,2021-01-05
"Garrucha, Puerto",Almería,12.6,5.4,9.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Albox,Almería,11.7,2.4,7.0,28.0,21.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Huércal-Overa,Almería,13.4,1.8,7.6,24.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Aramaio,Araba/Álava,2.1,-0.8,0.6,,,0.8,0.0,0.4,0.4,0.0,2021-01-05
Amurrio,Araba/Álava,5.0,0.3,2.7,7.0,4.0,3.8,3.0,0.8,0.0,0.0,2021-01-05
Lalastra,Araba/Álava,,,,,,,,,,0.2,2021-01-05
Agurain/Salvatierra,Araba/Álava,2.0,-1.0,0.5,8.0,5.0,4.0,1.2,2.6,0.2,0.0,2021-01-05
Vitoria Gasteiz Aeropuerto,Araba/Álava,2.5,-0.8,0.8,24.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Labastida,Araba/Álava,2.8,-2.3,0.3,12.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Leza,Araba/Álava,3.2,-1.4,0.9,,,1.2,0.0,1.2,0.0,0.0,2021-01-05
Campezo/Kanpezu,Araba/Álava,3.1,-0.4,1.3,,,5.8,0.0,1.0,4.8,0.0,2021-01-05
Cabrales,Asturias,4.0,-0.1,1.9,19.0,13.0,25.6,0.0,2.4,17.0,6.2,2021-01-05
Llanes,Asturias,9.8,4.5,7.2,31.0,23.0,6.4,0.4,1.0,1.2,3.8,2021-01-05
"Amieva, Panizales",Asturias,4.7,0.5,2.6,9.0,5.0,8.4,1.2,3.0,4.0,0.2,2021-01-05
"Piloña, Bargaéu",Asturias,5.1,0.4,2.7,16.0,8.0,9.4,2.4,3.4,1.4,2.2,2021-01-05
Colunga,Asturias,8.3,3.6,6.0,27.0,16.0,,,,,1.0,2021-01-05
"Gijón, Campus",Asturias,7.5,2.0,4.8,23.0,12.0,16.4,4.6,7.4,2.4,2.0,2021-01-05
Cabo Peñas,Asturias,7.2,4.3,5.8,37.0,24.0,,,,,,2021-01-05
Asturias Aeropuerto,Asturias,6.7,2.3,4.5,32.0,21.0,10.3,1.2,3.0,3.8,2.3,2021-01-05
Pajares-Valgrande,Asturias,-1.2,-7.9,-4.6,1.0,0.0,1.6,0.0,0.7,0.2,0.7,2021-01-05
"Lena, Ronzón",Asturias,4.1,-1.3,1.4,8.0,4.0,5.8,0.0,0.4,5.4,0.0,2021-01-05
"Aller, Felechosa",Asturias,2.7,-1.6,0.6,8.0,4.0,5.2,0.2,0.8,3.2,1.0,2021-01-05
"Mieres, Baiña",Asturias,6.6,0.8,3.7,12.0,5.0,2.2,0.4,0.2,0.8,0.8,2021-01-05
Oviedo,Asturias,4.7,0.5,2.6,20.0,12.0,1.8,0.2,0.4,1.2,0.0,2021-01-05
"Tineo, Soutu",Asturias,4.1,0.3,2.2,13.0,7.0,0.2,0.0,0.0,0.0,0.2,2021-01-05
Pola de Somiedo,Asturias,4.3,-2.6,0.9,10.0,5.0,0.8,0.0,0.0,0.8,0.0,2021-01-05
"Salas, Camuño",Asturias,4.9,0.8,2.9,28.0,16.0,5.6,0.2,2.6,2.8,0.0,2021-01-05
Cabo Busto,Asturias,7.3,3.9,5.6,33.0,22.0,,,,,,2021-01-05
Degaña,Asturias,-0.7,-6.3,-3.5,,,,,,,,2021-01-05
"Ibias, San Antolin",Asturias,1.5,-1.7,-0.1,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
"Villayón, Oneta",Asturias,2.9,-0.4,1.3,16.0,8.0,7.6,1.6,4.6,1.4,0.0,2021-01-05
Castropol,Asturias,6.6,1.9,4.2,28.0,15.0,11.1,2.3,4.7,3.9,0.2,2021-01-05
"Taramundi, Ouria",Asturias,3.0,0.5,1.8,22.0,16.0,8.8,1.6,4.8,2.4,0.0,2021-01-05
Puerto de Leitariegos,Asturias,-0.8,-8.5,-4.7,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Muñotello,Ávila,2.9,-6.9,-2.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Ávila,Ávila,3.4,-6.5,-1.5,17.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Gotarrendura,Ávila,,,,,,,0.0,,,,2021-01-05
Arevalo,Ávila,4.1,-7.3,-1.6,14.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Rivilla de Barajas,Ávila,2.6,-4.7,-1.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Barco de Avila,Ávila,4.9,-7.9,-1.5,17.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Puerto El Pico,Ávila,2.4,-13.5,-5.5,23.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Cebreros,Ávila,,,,,,,,,,0.0,2021-01-05
Candeleda,Ávila,11.0,-4.3,3.3,14.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Herrera del Duque,Badajoz,7.8,-2.5,2.7,11.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Peraleda del Zaucejo,Badajoz,5.4,-2.7,1.4,17.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Castuera,Badajoz,6.8,0.5,3.7,20.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Navalvillar de Pela,Badajoz,7.7,-2.8,2.4,12.0,8.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Don Benito,Badajoz,5.3,-0.8,2.3,14.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Llerena,Badajoz,5.6,0.0,2.8,21.0,13.0,0.2,0.2,0.0,0.0,0.0,2021-01-05
Villafranca de los Barros,Badajoz,6.5,-3.8,1.4,17.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Mérida,Badajoz,3.7,-2.0,0.9,,,,,0.0,0.0,,2021-01-05
Zafra,Badajoz,8.8,0.0,4.4,20.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Almendralejo,Badajoz,3.3,-3.5,-0.1,18.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Badajoz Aeropuerto,Badajoz,3.9,-1.3,1.3,21.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alburquerque,Badajoz,6.9,-4.5,1.2,16.0,11.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Puebla de Obando,Badajoz,6.4,-2.4,2.0,17.0,12.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Badajoz,Badajoz,3.6,-2.7,0.4,17.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Olivenza,Badajoz,5.2,-0.9,2.1,27.0,19.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alconchel,Badajoz,5.9,0.9,3.4,32.0,23.0,0.2,0.2,0.0,0.0,0.0,2021-01-05
Barcarrota,Badajoz,10.1,-3.2,3.5,25.0,11.0,0.2,0.2,0.0,0.0,0.0,2021-01-05
Villanueva del Fresno,Badajoz,,,,,,,,,,,2021-01-05
Monesterio,Badajoz,4.9,-1.3,1.8,16.0,9.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Fuente de Cantos,Badajoz,6.7,-1.5,2.6,23.0,17.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Jerez de los Caballeros,Badajoz,7.2,0.5,3.8,26.0,22.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Fregenal de la Sierra,Badajoz,6.3,-1.6,2.4,18.0,10.0,0.2,0.2,0.0,0.0,0.0,2021-01-05
Azuaga,Badajoz,6.2,-2.1,2.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Pontons,Barcelona,6.9,-2.6,2.2,42.0,29.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Vilafranca del Penedès,Barcelona,9.3,-2.5,3.4,22.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Sitges,Barcelona,9.8,1.8,5.8,26.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Barcelona Aeropuerto,Barcelona,10.1,0.6,5.4,32.0,22.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Berga,Barcelona,3.6,-3.6,0.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Balsareny,Barcelona,6.6,-6.5,0.0,26.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Prats de Lluçanès,Barcelona,3.9,-6.3,-1.2,16.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Moià,Barcelona,,,,,,,,,,0.0,2021-01-05
Manresa,Barcelona,6.6,-4.5,1.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Monistrol de Montserrat,Barcelona,2.4,-2.2,0.1,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Igualada,Barcelona,7.1,-1.7,2.7,20.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
"Corbera, Pic d'Agulles",Barcelona,,,,,,,0.0,0.0,,,2021-01-05
Barcelona,Barcelona,10.0,2.8,6.4,28.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
"Barcelona, Museo Marítimo",Barcelona,10.2,4.2,7.2,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Caldes de Montbui,Barcelona,8.5,-3.1,2.7,21.0,14.0,0.2,0.0,0.0,0.2,0.0,2021-01-05
Arenys de Mar,Barcelona,11.4,1.8,6.6,18.0,8.0,0.3,0.0,0.0,0.0,0.3,2021-01-05
Santa Susanna,Barcelona,8.1,-1.3,3.4,25.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Fogars de Montclús,Barcelona,2.5,-3.4,-0.5,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Tona,Barcelona,5.1,-5.6,-0.3,15.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Sant Julià  de Vilatorta,Barcelona,3.3,-6.2,-1.4,13.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Forua,Bizkaia,5.9,1.3,3.6,15.0,9.0,9.8,5.6,4.2,0.0,0.0,2021-01-05
Machichaco,Bizkaia,6.4,3.3,4.9,49.0,34.0,7.0,4.0,2.4,0.4,0.2,2021-01-05
Punta Galea,Bizkaia,10.5,4.4,7.5,34.0,20.0,4.4,2.7,1.7,0.0,0.0,2021-01-05
Orozko,Bizkaia,3.7,0.0,1.9,7.0,4.0,12.6,2.2,2.6,6.8,1.0,2021-01-05
Abadiño,Bizkaia,2.4,-1.0,0.7,,,6.4,0.2,0.2,5.6,0.4,2021-01-05
Amorebieta--Etxano,Bizkaia,4.7,0.4,2.5,12.0,7.0,8.0,5.8,1.8,0.0,0.4,2021-01-05
Balmaseda,Bizkaia,4.8,0.6,2.7,,,7.0,5.6,1.4,0.0,0.0,2021-01-05
Bilbao Aeropuerto,Bizkaia,6.2,2.3,4.2,22.0,15.0,9.0,7.6,1.4,0.0,0.0,2021-01-05
Sopuerta,Bizkaia,6.2,1.3,3.7,6.0,3.0,6.6,4.8,1.0,0.0,0.8,2021-01-05
Coruña del Conde,Burgos,1.2,-5.3,-2.1,13.0,8.0,0.4,0.0,0.0,0.2,0.2,2021-01-05
Aranda de Duero,Burgos,3.3,-5.3,-1.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Pedrosa del Príncipe,Burgos,4.8,-8.0,-1.6,14.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Palacios de la Sierra,Burgos,1.7,-10.8,-4.6,21.0,11.0,1.0,0.0,0.0,1.0,0.0,2021-01-05
Monterrubio de la Demanda,Burgos,-0.1,-9.5,-4.8,13.0,8.0,3.8,0.0,0.0,3.8,0.0,2021-01-05
Villamayor de los Montes,Burgos,2.6,-5.7,-1.5,19.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Burgos Aeropuerto,Burgos,2.6,-6.4,-1.9,22.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Santa Gadea de Alfoz,Burgos,0.6,-3.7,-1.6,,,4.8,0.0,0.0,4.6,0.2,2021-01-05
Sargentes de la Lora,Burgos,,,,,,0.8,0.0,0.0,0.8,0.0,2021-01-05
Briviesca,Burgos,1.8,-3.3,-0.8,24.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Medina de Pomar,Burgos,3.3,-3.4,-0.1,17.0,8.0,1.6,0.4,1.2,0.0,0.0,2021-01-05
Miranda de Ebro,Burgos,5.2,-0.5,2.3,19.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Belorado,Burgos,,,,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Navalvillar de Ibor,Cáceres,4.9,-3.3,0.8,13.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Madrigal de la Vera,Cáceres,8.7,-1.6,3.5,13.0,5.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Navalmoral de la Mata,Cáceres,9.3,-5.8,1.8,18.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Garganta la Olla,Cáceres,6.3,-1.7,2.3,19.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Serradilla,Cáceres,7.1,-3.0,2.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Jaraicejo,Cáceres,8.1,-1.7,3.2,16.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Cáceres,Cáceres,8.0,-2.9,2.5,10.0,8.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Cañaveral,Cáceres,8.1,-3.0,2.6,31.0,23.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Nuñomoral,Cáceres,9.2,-5.6,1.8,9.0,5.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Guijo de Granadilla,Cáceres,9.0,-1.1,3.9,19.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Hervás,Cáceres,5.4,-3.1,1.2,16.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Montehermoso,Cáceres,9.0,-4.0,2.5,14.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Tornavacas,Cáceres,5.3,-4.0,0.7,41.0,30.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Piornal,Cáceres,1.0,-5.2,-2.1,22.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Plasencia,Cáceres,8.9,-1.8,3.5,13.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Coria,Cáceres,9.0,-2.5,3.3,19.0,10.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Hoyos,Cáceres,7.9,-1.6,3.2,28.0,16.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Zarza La Mayor,Cáceres,9.0,-1.9,3.6,12.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Valverde del Fresno,Cáceres,8.8,-2.8,3.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Aliseda,Cáceres,8.3,-4.1,2.1,13.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Brozas,Cáceres,7.5,-1.6,2.9,20.0,17.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Valencia de Alcántara,Cáceres,7.0,-2.8,2.1,17.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Guadalupe,Cáceres,6.8,-4.6,1.1,11.0,5.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Cañamero,Cáceres,6.9,-2.2,2.4,18.0,10.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Zorita,Cáceres,7.1,-1.5,2.8,19.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Alcuescar,Cáceres,2.8,-1.7,0.5,22.0,15.0,0.2,0.0,0.2,0.0,0.0,2021-01-05
Chipiona,Cádiz,12.5,4.6,8.5,24.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
"Rota, Base Naval",Cádiz,12.6,4.3,8.5,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Grazalema,Cádiz,8.3,1.1,4.7,12.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Olvera,Cádiz,10.1,3.3,6.7,12.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
El Bosque,Cádiz,11.3,3.7,7.5,11.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
San José del Valle,Cádiz,12.6,5.6,9.1,12.0,7.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Jerez de la Frontera Aeropuerto,Cádiz,13.1,1.4,7.3,21.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
San Fernando,Cádiz,13.0,7.4,10.2,17.0,10.0,1.1,1.1,0.0,0.0,0.0,2021-01-05
Cádiz,Cádiz,12.7,8.1,10.4,19.0,13.0,1.0,1.0,0.0,0.0,0.0,2021-01-05
Medina Sidonia,Cádiz,12.3,3.1,7.7,12.0,7.0,0.4,0.2,0.2,0.0,0.0,2021-01-05
Vejer de la Frontera,Cádiz,11.9,6.1,9.0,15.0,7.0,1.9,0.7,1.2,0.0,0.0,2021-01-05
Barbate,Cádiz,12.4,4.3,8.3,16.0,9.0,1.4,1.0,0.4,0.0,0.0,2021-01-05
Tarifa,Cádiz,12.7,5.1,8.9,50.0,35.0,0.1,0.0,0.0,0.1,0.0,2021-01-05
Jimena de la Frontera,Cádiz,13.7,0.9,7.3,28.0,15.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
San Roque,Cádiz,13.6,4.9,9.3,33.0,26.0,0.8,0.0,0.0,0.0,0.8,2021-01-05
Castro Urdiales,Cantabria,7.0,3.4,5.2,40.0,22.0,8.4,7.5,0.9,0.0,0.0,2021-01-05
Ramales de la Victoria,Cantabria,5.5,1.5,3.5,12.0,4.0,14.2,9.8,3.8,0.6,0.0,2021-01-05
"Barcena de Cicero, Treto",Cantabria,6.6,3.1,4.8,28.0,13.0,11.2,3.0,8.0,0.0,0.2,2021-01-05
"Soba, Alto Miera",Cantabria,1.7,-0.7,0.5,11.0,6.0,22.6,1.8,5.2,11.6,4.0,2021-01-05
Santander Aeropuerto,Cantabria,5.6,1.5,3.5,32.0,22.0,35.2,15.9,15.7,3.6,0.0,2021-01-05
Santander,Cantabria,5.9,2.9,4.4,36.0,21.0,31.0,19.4,11.0,0.6,0.0,2021-01-05
Villacarriedo,Cantabria,2.6,0.1,1.3,9.0,6.0,19.2,8.4,8.6,2.2,0.0,2021-01-05
"Los Tojos, Bárcena Mayor",Cantabria,3.8,-0.5,1.6,11.0,5.0,4.8,3.8,0.4,0.0,0.6,2021-01-05
San Felices de Buelna,Cantabria,5.5,0.3,2.9,14.0,8.0,20.6,5.0,10.0,4.6,1.0,2021-01-05
"Torrelavega, Sierrapando",Cantabria,6.0,1.4,3.7,29.0,21.0,32.6,7.6,14.6,5.4,5.0,2021-01-05
San Vicente de la Barquera,Cantabria,8.1,4.0,6.1,42.0,24.0,19.5,2.3,5.0,3.0,9.2,2021-01-05
"Camaleño, Fuente De",Cantabria,5.4,-5.4,0.0,17.0,6.0,,,,,,2021-01-05
"Cillórigo de Liébana, Tama",Cantabria,5.3,-1.0,2.2,14.0,9.0,9.6,0.4,1.2,7.4,0.6,2021-01-05
Tresviso,Cantabria,1.8,-2.0,-0.1,39.0,26.0,0.6,0.0,0.2,0.0,0.4,2021-01-05
"Santillana del Mar, Altamira",Cantabria,6.2,1.3,3.7,23.0,13.0,39.4,12.0,15.4,11.6,0.4,2021-01-05
Reinosa,Cantabria,3.6,-6.4,-1.4,16.0,9.0,0.1,0.0,0.1,0.0,0.0,2021-01-05
Alto Campoo,Cantabria,-2.9,-6.9,-4.9,53.0,24.0,1.4,0.3,0.9,0.2,0.0,2021-01-05
"Valderredible, Cubillo de Ebro",Cantabria,4.2,-6.1,-1.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
"Valderredible, Polientes",Cantabria,4.7,-4.4,0.1,9.0,6.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Segorbe,Castelló/Castellón,9.4,-3.8,2.8,34.0,22.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Montanejos,Castelló/Castellón,6.9,-1.3,2.8,36.0,21.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Villafranca del Cid/Vilafranca,Castelló/Castellón,4.0,-5.3,-0.7,43.0,28.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Atzeneta del Maestrat,Castelló/Castellón,11.5,-5.4,3.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Castellón - Almassora,Castelló/Castellón,12.3,0.8,6.6,21.0,13.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Torreblanca,Castelló/Castellón,12.8,1.4,7.1,28.0,20.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
La Pobla de Benifassà-Fredes,Castelló/Castellón,1.5,-4.4,-1.5,60.0,37.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Vinaròs,Castelló/Castellón,,,,,,,,,,,2021-01-05
Morella,Castelló/Castellón,2.0,-3.1,-0.5,40.0,26.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Castellfort,Castelló/Castellón,2.3,-4.2,-0.9,,,0.0,0.0,0.0,0.0,0.0,2021-01-05
Ceuta,Ceuta,13.6,8.3,11.0,32.0,19.0,0.2,0.0,0.0,0.0,0.2,2021-01-05
Alcazar de San Juan,Ciudad Real,3.6,-4.1,-0.3,10.0,4.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
Tomelloso,Ciudad Real,4.1,-4.9,-0.4,,,,0.0,,0.0,0.0,2021-01-05
Ciudad Real,Ciudad Real,5.6,-4.3,0.6,14.0,9.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
